fam,tf,look,sl,tp,n,wr,pf,exp,tot,nsd
bollinger,4h,40,1.5,1.5,143,44.75524475524475,1.1842301092334784,0.1027478396181591,14.692941065396752,2.5
bollinger,4h,40,1.5,1.0,144,54.861111111111114,1.1739779575924905,0.07988578206121681,11.50355261681522,2.5
bollinger,4h,40,2.0,1.0,142,54.22535211267606,1.1666115990483186,0.07645000384418675,10.855900545874519,2.5
bollinger,4h,40,2.0,1.5,142,42.25352112676056,1.1245650866981687,0.06682853179454977,9.489651514826068,2.5
bollinger,4h,40,2.0,1.5,550,42.54545454545455,1.0688210810798717,0.03829030955909445,21.05967025750195,2.0
bollinger,4h,40,2.0,1.0,556,51.07913669064749,1.0161168963409846,0.007911094346761145,4.398568456799197,2.0
bollinger,4h,20,2.0,1.5,273,41.75824175824176,0.9913955500395534,-0.004933020686385715,-1.3467146473833003,2.0
bollinger,4h,40,1.5,1.0,594,50.67340067340067,0.9788744619416166,-0.010707984781964185,-6.360542960486725,2.0
bollinger,4h,40,1.5,1.5,591,40.609137055837564,0.9754025801537358,-0.014893675789328313,-8.802162391493033,2.0
bollinger,4h,20,1.5,1.5,279,40.50179211469534,0.9655306884011644,-0.02093318846475157,-5.8403595816656875,2.0
bollinger,4h,20,1.5,1.0,279,50.179211469534046,0.9624255629521985,-0.019229227169437837,-5.364954380273156,2.0
bollinger,1h,40,2.0,1.0,2127,50.352609308885754,0.9389449455126173,-0.031222782631064733,-66.41085865627468,2.0
bollinger,1h,40,2.0,1.5,2109,41.48885727833097,0.9321147116547411,-0.040263713141195805,-84.91617101478195,2.0
bollinger,1h,40,1.5,1.5,2235,39.55257270693512,0.8916438367452605,-0.06915772238424901,-154.56750952879653,2.0
bollinger,4h,20,2.0,1.0,276,48.55072463768116,0.8914807830176442,-0.05652190269536092,-15.600045143919614,2.0
bollinger,1h,40,2.0,1.0,600,48.66666666666667,0.8797853244932585,-0.06359063972426422,-38.15438383455853,2.5
donchian,4h,20,2.0,2.0,1070,34.859813084112155,0.8527085170041072,-0.09339465364727723,-99.93227940258663,
bollinger,1h,40,1.5,1.0,2243,48.32813196611681,0.8452695290316932,-0.08486734987844254,-190.35746577734662,2.0
bollinger,1h,20,2.0,1.0,1084,47.601476014760145,0.8412854623007521,-0.08538804046797167,-92.56063586728129,2.0
donchian,4h,20,2.0,1.5,1184,38.17567567567568,0.8367650449734166,-0.1005060007336716,-118.99910486866717,
bollinger,1h,20,2.0,1.5,1066,39.02439024390244,0.82970744074007,-0.10425918761309637,-111.14029399556073,2.0
bollinger,1h,40,1.5,1.5,611,37.80687397708674,0.8264888477950949,-0.11405834160745547,-69.68964672215529,2.5
bollinger,1h,40,2.0,1.5,599,39.065108514190314,0.8168957671238275,-0.11252276147074013,-67.40113412097334,2.5
donchian,4h,20,1.5,1.5,1484,36.65768194070081,0.8155352291529018,-0.12004759916631828,-178.15063716281634,
bollinger,1h,20,1.5,1.5,1095,37.44292237442922,0.8071069450372582,-0.12767225626966225,-139.80112061528015,2.0
pullback,1h,20,2.0,3.0,3906,31.02918586789555,0.8035381195720506,-0.1369827275490805,-535.0545338067085,
bollinger,1h,20,1.5,1.0,1101,46.95731153496821,0.7995360460386842,-0.11312326120049201,-124.5487105817417,2.0
pullback,4h,20,2.0,2.0,1055,33.36492890995261,0.7973459139631756,-0.13313961294048704,-140.46229165221382,
donchian,4h,20,1.5,2.0,1334,30.434782608695656,0.7958001609759754,-0.1452857364130966,-193.8111723750709,
pullback,1h,20,2.0,2.0,4219,33.23062337046693,0.7914058025290065,-0.1412416283272272,-595.8984299125716,
pullback,1h,20,2.0,1.5,4649,37.21230372123037,0.7850914468832157,-0.13825871416605343,-642.7647621579824,
donchian,1h,20,2.0,1.5,4706,37.05907352316192,0.7846559226867748,-0.1383535597823891,-651.0918523359231,
donchian,1h,20,2.0,3.0,3869,30.550529852675112,0.7844648408740023,-0.1508131538602762,-583.4960922854086,
pullback,4h,20,2.0,1.5,1164,36.16838487972508,0.7824477147043384,-0.13822233461468023,-160.89079749148777,
donchian,1h,20,2.0,2.0,4272,32.88857677902622,0.7824316035046126,-0.1478183111646568,-631.4798252954139,
pullback,1h,20,1.5,3.0,4917,25.68639414276998,0.7759266405885166,-0.17567065410631377,-863.7726062407448,
