tf_minutes,require_bias,tp_r,sl_atr_buffer,trail_atr,spread_gate,min_score,n,wr,pf,exp,total_r
15,True,0.6,0.5,0.0,0.2,0,402,55.72139303482587,0.655092954398608,-0.1630864792806698,-65.56076467082926
15,True,0.6,0.5,0.0,0.2,60,395,55.69620253164557,0.6550529402290792,-0.16308675658379312,-64.41926885059829
15,True,0.6,0.5,0.0,0.2,70,329,54.40729483282675,0.6225103571648566,-0.18372141735251246,-60.4443463089766
15,True,0.6,0.5,1.5,0.2,0,402,55.72139303482587,0.655092954398608,-0.1630864792806698,-65.56076467082926
15,True,0.6,0.5,1.5,0.2,60,395,55.69620253164557,0.6550529402290792,-0.16308675658379312,-64.41926885059829
15,True,0.6,0.5,1.5,0.2,70,329,54.40729483282675,0.6225103571648566,-0.18372141735251246,-60.4443463089766
15,True,0.6,0.5,1.5,0.45,0,752,56.25,0.6428848508613147,-0.17047841441578085,-128.1997676406672
15,True,0.6,0.5,1.5,0.45,60,731,56.22435020519836,0.6430980321418117,-0.1703698439803173,-124.54035594961195
15,True,0.6,0.5,1.5,0.45,70,549,55.009107468123865,0.6175107232264913,-0.18683476849396255,-102.57228790318544
15,True,0.6,0.5,0.0,0.45,0,752,56.25,0.6428848508613147,-0.17047841441578085,-128.1997676406672
15,True,0.6,0.5,0.0,0.45,60,731,56.22435020519836,0.6430980321418117,-0.1703698439803173,-124.54035594961195
15,True,0.6,0.5,0.0,0.45,70,549,55.009107468123865,0.6175107232264913,-0.18683476849396255,-102.57228790318544
15,True,0.6,1.0,0.0,0.2,0,402,56.71641791044776,0.7114386955388668,-0.1296523788811528,-52.120256310223425
15,True,0.6,1.0,0.0,0.2,60,395,56.708860759493675,0.7118857652129131,-0.1293698358257466,-51.101085151169904
15,True,0.6,1.0,0.0,0.2,70,333,56.45645645645646,0.7079417413736832,-0.13186761825027948,-43.91191687734307
15,True,0.6,1.0,0.0,0.45,0,908,55.947136563876654,0.653098400609077,-0.1638736561474715,-148.79727978190414
15,True,0.6,1.0,0.0,0.45,60,862,56.264501160092806,0.6638310478828577,-0.1573535998820551,-135.6388030983315
15,True,0.6,1.0,0.0,0.45,70,616,56.81818181818182,0.6893725619402314,-0.14263627441409008,-87.86394503907948
15,True,0.6,1.0,1.5,0.2,0,402,56.71641791044776,0.7114386955388668,-0.1296523788811528,-52.120256310223425
15,True,0.6,1.0,1.5,0.2,60,395,56.708860759493675,0.7118857652129131,-0.1293698358257466,-51.101085151169904
15,True,0.6,1.0,1.5,0.2,70,333,56.45645645645646,0.7079417413736832,-0.13186761825027948,-43.91191687734307
15,True,0.6,1.0,1.5,0.45,0,908,55.947136563876654,0.653098400609077,-0.1638736561474715,-148.79727978190414
15,True,0.6,1.0,1.5,0.45,60,862,56.264501160092806,0.6638310478828577,-0.1573535998820551,-135.6388030983315
15,True,0.6,1.0,1.5,0.45,70,616,56.81818181818182,0.6893725619402314,-0.14263627441409008,-87.86394503907948
15,True,1.0,0.5,0.0,0.2,0,402,47.2636815920398,0.7960451251769756,-0.11464073583860095,-46.08557580711758
15,True,1.0,0.5,0.0,0.2,60,399,47.368421052631575,0.7996878561190429,-0.11232144180788514,-44.81625528134617
