pair,dir,entry_time,exit_time,entry_price,stop_price,target_price,r_unit,stop_pips,target_R,r_multiple,exit_reason,pip,pip_val,balance_before,dollar_risk,qty_lots,pnl_dollars,balance_after
GBPUSD,SHORT,2026-04-27 18:15:00+00:00,2026-04-28 01:00:00+00:00,1.35348,1.354714607142857,1.3528626964285715,0.0012346071428570582,12.346071428570582,0.5,0.5,target,0.0001,10.0,100000.0,2000.0,16.2,1000.0,101000.0
XAUUSD,SHORT,2026-04-28 03:45:00+00:00,2026-04-28 04:00:00+00:00,4670.93,4677.673392857142,4667.55830357143,6.743392857141771,674.3392857141771,0.5,0.5,target,0.01,1.0,101000.0,2020.0,3.0,1010.0,102010.0
NZDUSD,SHORT,2026-04-28 08:00:00+00:00,2026-04-28 10:15:00+00:00,0.58865,0.5896851785714285,0.5881324107142858,0.001035178571428541,10.35178571428541,0.5,0.5,target,0.0001,10.0,102010.0,2040.2,19.71,1020.1,103030.1
GBPUSD,SHORT,2026-04-28 13:00:00+00:00,2026-04-28 13:15:00+00:00,1.34892,1.3503479285714286,1.3482060357142855,0.0014279285714287049,14.279285714287049,0.5,0.5,target,0.0001,10.0,103030.1,2060.6,14.43,1030.3,104060.4
NZDUSD,SHORT,2026-04-28 13:00:00+00:00,2026-04-28 13:30:00+00:00,0.58749,0.58827425,0.587097875,0.0007842500000000419,7.842500000000419,0.5,-1.0,stop,0.0001,10.0,104060.4,2081.21,26.54,-2081.21,101979.19
GBPUSD,SHORT,2026-04-29 03:30:00+00:00,2026-04-29 05:15:00+00:00,1.3512,1.35221225,1.350693875,0.0010122500000000478,10.122500000000478,0.5,0.5,target,0.0001,10.0,101979.19,2039.58,20.15,1019.79,102998.98
NZDUSD,SHORT,2026-04-29 08:00:00+00:00,2026-04-29 09:15:00+00:00,0.58608,0.5873369642857142,0.5854515178571429,0.0012569642857142016,12.569642857142016,0.5,0.5,target,0.0001,10.0,102998.98,2059.98,16.39,1029.99,104028.97
NZDUSD,SHORT,2026-04-29 15:00:00+00:00,2026-04-29 15:45:00+00:00,0.58392,0.5852808571428572,0.5832395714285714,0.0013608571428571636,13.608571428571636,0.5,0.5,target,0.0001,10.0,104028.97,2080.58,15.29,1040.29,105069.26
XAUUSD,LONG,2026-04-30 00:15:00+00:00,2026-04-30 00:45:00+00:00,4563.63,4552.550607142857,4569.169696428571,11.07939285714292,1107.939285714292,0.5,0.5,target,0.01,1.0,105069.26,2101.39,1.9,1050.69,106119.96
CADJPY,LONG,2026-04-30 04:15:00+00:00,2026-04-30 04:30:00+00:00,117.293,117.24268928571428,117.3131242857143,0.050310714285728864,5.031071428572886,0.4,0.4,target,0.01,6.7,106119.96,2122.4,62.96,848.96,106968.92
