symbol,n,wr,pf,exp,total_r,avg_win,avg_loss,verdict,reason
EURUSD,1,100.0,inf,0.9863346807953766,0.9863346807953766,0.9863346807953766,0.0,REJECT,insufficient setups (1 < 4)
GBPUSD,2,100.0,inf,0.9836404513800466,1.9672809027600933,0.9836404513800466,0.0,REJECT,insufficient setups (2 < 4)
EURJPY,3,100.0,inf,0.9825993309763902,2.9477979929291704,0.9825993309763902,0.0,REJECT,insufficient setups (3 < 4)
EURCAD,8,100.0,inf,0.974453532877761,7.795628263022088,0.974453532877761,0.0,APPROVE,meets all in-sample minimums
AUDNZD,6,83.33333333333333,18.007215298140625,0.7404995648796012,4.442997389277608,0.9408478596322061,-0.2612419088834228,APPROVE,meets all in-sample minimums
EURGBP,7,85.71428571428571,5.4603764289455725,0.6797658435020669,4.758360904514468,0.9708613214351939,-1.0668070240966947,APPROVE,meets all in-sample minimums
CHFJPY,6,83.33333333333333,4.811624008584065,0.6490140786720935,3.894084472032561,0.9831436833690536,-1.0216339448127068,APPROVE,meets all in-sample minimums
EURCHF,10,80.0,3.31476732213607,0.4867768664986082,4.867768664986082,0.8713359841888941,-1.0514596042625355,APPROVE,meets all in-sample minimums
XAUUSD,5,80.0,3.058061158551355,0.4150952859550935,2.0754764297754673,0.7709846023055904,-1.008461979446894,APPROVE,meets all in-sample minimums
AUDUSD,8,75.0,2.842964417883017,0.4746832823097934,3.797466258478347,0.976331153060328,-1.0302603299418105,APPROVE,meets all in-sample minimums
CADJPY,3,66.66666666666667,1.6443415916325426,0.2203871343647844,0.6611614030943532,0.8436326383460997,-1.026103873597846,REJECT,insufficient setups (3 < 4)
USDSGD,4,50.0,1.3379686260672627,0.12228588332594145,0.4891435333037658,0.9682240461484066,-0.7236522794965237,REJECT,win rate 50.0% < 60%
GBPCHF,7,57.142857142857146,1.3035323365041056,0.10562218946478084,0.7393553262534659,0.7937981065197806,-0.8119456999418855,REJECT,win rate 57.1% < 60%
USDCHF,7,57.142857142857146,1.262000477977612,0.11636139815636151,0.8145297870945306,0.9808541081441632,-1.0362955484940406,REJECT,win rate 57.1% < 60%
USDJPY,2,50.0,0.9708370083859316,-0.014837194717418789,-0.029674389434837578,0.9878614596830032,-1.0175358491178408,REJECT,insufficient setups (2 < 4)
AUDCAD,6,50.0,0.9411746771907503,-0.030685378424507914,-0.18411227054704749,0.9819003025894494,-1.0432710594384649,REJECT,win rate 50.0% < 60%
USDCAD,4,50.0,0.9328946159523603,-0.035245498236615685,-0.14098199294646274,0.9799611762345237,-1.0504521727077551,REJECT,win rate 50.0% < 60%
EURAUD,5,40.0,0.7427121545658864,-0.13602741394718043,-0.6801370697359022,0.9816749555568066,-0.8811623269498384,REJECT,win rate 40.0% < 60%
GBPJPY,5,40.0,0.6419297732345552,-0.21989983366317373,-1.0994991683158686,0.985562606202002,-1.0235414602399573,REJECT,win rate 40.0% < 60%
GBPAUD,7,42.857142857142854,0.5853415159660128,-0.2436707245001448,-1.7056950715010135,0.8025995506913953,-1.0283734308937997,REJECT,win rate 42.9% < 60%
NZDJPY,3,33.333333333333336,0.47808410775930765,-0.35702782623169166,-1.071083478695075,0.9811312452074548,-1.0261073619512648,REJECT,insufficient setups (3 < 4)
GBPCAD,7,28.571428571428573,0.38007123004616733,-0.45690156933941434,-3.1983109853759,0.9804239206163272,-1.0318317653217108,REJECT,win rate 28.6% < 60%
NZDUSD,7,28.571428571428573,0.37464637292484637,-0.465780668792329,-3.2604646815463028,0.9766644136247145,-1.0427587017591464,REJECT,win rate 28.6% < 60%
AUDJPY,4,25.0,0.32109965830358994,-0.5233259758383758,-2.0933039033535032,0.9900704518910913,-1.0277914517481983,REJECT,win rate 25.0% < 60%
