variant,seconds,per_day,n,wr,pf,exp,max_dd,total_r,max_loss_streak,train_n,train_wr,train_pf,train_exp,validation_n,validation_wr,validation_pf,validation_exp,test_n,test_wr,test_pf,test_exp
BASE (all fixes),18.6,0.127,149,55.7,1.289,0.1262,2.31,18.8,5,68,52.94,1.232,0.1064,39,66.67,1.821,0.2622,42,50.0,1.057,0.0319
fill_pct 0.0,14.1,0.131,153,52.94,1.056,0.0262,6.35,4.01,4,73,52.05,0.993,-0.003,37,51.35,0.832,-0.0842,43,55.81,1.372,0.1707
fill_pct 0.25,20.2,0.132,154,53.25,1.14,0.0678,2.78,10.44,6,66,51.52,1.075,0.0364,42,61.9,1.318,0.1246,46,47.83,1.106,0.0609
fill_pct 0.5,17.9,0.127,149,55.7,1.289,0.1262,2.31,18.8,5,68,52.94,1.232,0.1064,39,66.67,1.821,0.2622,42,50.0,1.057,0.0319
fill_pct 0.75,20.1,0.13,151,52.32,1.099,0.0496,4.46,7.49,6,69,50.72,0.941,-0.0284,39,61.54,1.48,0.1907,43,46.51,1.067,0.0469
fill_pct 1.0,18.4,0.115,134,53.73,1.051,0.026,3.97,3.48,6,63,50.79,0.925,-0.035,31,58.06,1.067,0.029,40,55.0,1.245,0.1197
valid_bars 4,25.1,0.112,131,54.96,1.263,0.1163,3.61,15.24,5,59,50.85,1.129,0.0616,31,67.74,1.985,0.2974,41,51.22,1.113,0.0582
valid_bars 6,22.3,0.124,145,55.86,1.281,0.1222,2.33,17.72,5,67,52.24,1.173,0.0807,36,69.44,2.055,0.3049,42,50.0,1.057,0.0319
valid_bars 12,29.0,0.136,159,55.35,1.268,0.1186,2.99,18.85,6,74,51.35,1.142,0.0679,42,66.67,1.748,0.2402,43,51.16,1.172,0.0869
valid_bars 16,36.9,0.153,179,53.63,1.154,0.0717,4.7,12.83,8,84,48.81,0.972,-0.0141,46,63.04,1.452,0.1629,49,53.06,1.278,0.1331
zone after sweep OFF,23.1,0.137,161,52.8,1.172,0.08,4.0,12.88,6,73,50.68,1.187,0.0882,43,62.79,1.484,0.1753,46,47.83,0.97,-0.0121
max_bars_since_sweep 3,16.2,0.101,118,55.93,1.271,0.1182,2.31,13.95,5,55,52.73,1.3,0.1359,30,70.0,1.843,0.2606,33,48.48,0.91,-0.0408
max_bars_since_sweep 4,27.9,0.108,126,53.97,1.123,0.0569,3.24,7.16,5,58,48.28,0.981,-0.0096,30,70.0,1.727,0.2247,38,50.0,1.044,0.0258
max_bars_since_sweep 8,15.6,0.143,168,55.36,1.258,0.1126,3.66,18.92,6,79,51.9,1.13,0.0599,43,65.12,1.744,0.2512,46,52.17,1.148,0.0736
max_bars_since_sweep 10,16.0,0.159,186,53.76,1.18,0.0825,3.55,15.35,7,84,52.38,1.175,0.0801,49,65.31,1.76,0.2571,53,45.28,0.858,-0.0751
buffer_atr 0.15,14.5,0.125,146,56.85,1.207,0.0926,3.31,13.52,6,69,53.62,1.195,0.0914,38,71.05,1.785,0.2344,39,48.72,0.911,-0.0434
buffer_atr 0.35,14.3,0.133,156,55.77,1.289,0.1247,3.0,19.45,5,72,56.94,1.484,0.1905,40,65.0,1.593,0.1999,44,45.45,0.903,-0.0514
buffer_atr 0.5,13.7,0.144,169,55.62,1.144,0.0654,3.9,11.05,5,80,58.75,1.316,0.1352,41,58.54,1.149,0.0567,48,47.92,0.914,-0.0435
min_stop_atr 0.5,14.1,0.128,150,55.33,1.305,0.1345,2.36,20.18,5,69,53.62,1.247,0.1119,40,67.5,2.017,0.3167,41,46.34,0.983,-0.0051
min_stop_atr 0.65,14.0,0.127,149,55.03,1.268,0.1191,2.39,17.74,5,69,53.62,1.247,0.1119,39,66.67,1.821,0.2622,41,46.34,0.983,-0.0051
min_stop_atr 1.0,13.9,0.126,148,55.41,1.266,0.1169,3.02,17.3,5,67,52.24,1.184,0.0856,39,66.67,1.821,0.2622,42,50.0,1.057,0.0319
min_stop_atr 1.3,14.1,0.114,134,51.49,1.115,0.0564,3.89,7.56,6,62,50.0,1.182,0.0883,34,58.82,1.224,0.089,38,47.37,0.947,-0.0248
pd_hard_veto 0.65,13.8,0.114,133,54.89,1.261,0.1157,2.58,15.39,5,60,51.67,1.156,0.073,34,64.71,1.703,0.2363,39,51.28,1.151,0.0763
pd_hard_veto 0.75,13.5,0.122,143,55.24,1.254,0.1119,2.31,16.0,5,64,53.12,1.187,0.0851,37,64.86,1.739,0.2489,42,50.0,1.057,0.0319
pd_hard_veto 0.95,17.1,0.135,158,53.8,1.171,0.0788,3.37,12.45,7,74,48.65,0.997,-0.0016,39,66.67,1.822,0.2623,45,51.11,1.1,0.0518
