variant,seconds,per_day,n,wr,pf,exp,max_dd,total_r,max_loss_streak,scratches,wr_ex_scratch,train_n,train_wr,train_pf,train_exp,validation_n,validation_wr,validation_pf,validation_exp,test_n,test_wr,test_pf,test_exp
ladder (base),14.3,0.127,149,55.7,1.289,0.1262,2.31,18.8,5,10,54.68,68,52.94,1.232,0.1064,39,66.67,1.821,0.2622,42,50.0,1.057,0.0319
"ladder, min_rr on liquidity",13.7,0.127,149,55.7,1.289,0.1262,2.31,18.8,5,10,54.68,68,52.94,1.232,0.1064,39,66.67,1.821,0.2622,42,50.0,1.057,0.0319
flat 1.0R,13.5,0.128,150,59.33,1.198,0.0851,2.62,12.77,4,0,59.33,68,55.88,1.048,0.022,39,71.79,2.125,0.3269,43,53.49,0.916,-0.0343
flat 1.5R,13.6,0.125,146,47.95,1.133,0.0748,3.65,10.93,5,0,47.95,68,47.06,1.125,0.0687,37,51.35,1.355,0.178,42,47.62,1.025,0.0229
flat 2.0R,13.4,0.125,146,43.15,1.233,0.141,3.62,20.59,5,0,43.15,68,41.18,1.17,0.1036,37,45.95,1.423,0.2359,42,45.24,1.252,0.1565
flat 2.5R,13.9,0.125,146,37.67,1.177,0.1192,4.32,17.4,6,0,37.67,68,35.29,1.118,0.0796,37,37.84,1.224,0.144,42,40.48,1.19,0.1337
flat 3.0R,13.8,0.123,144,36.11,1.271,0.1856,4.56,26.73,6,0,36.11,67,34.33,1.276,0.1884,37,35.14,1.291,0.1955,41,39.02,1.192,0.1421
flat 3.5R,14.1,0.123,144,34.03,1.307,0.2152,4.85,30.99,9,0,34.03,66,31.82,1.268,0.1867,38,31.58,1.249,0.1762,41,39.02,1.383,0.2666
flat 4.0R,17.0,0.124,145,33.1,1.378,0.2673,6.94,38.76,15,0,33.1,66,30.3,1.26,0.1851,38,31.58,1.405,0.2871,41,39.02,1.562,0.3814
flat 4.5R,20.2,0.124,145,31.72,1.342,0.2476,6.75,35.9,15,0,31.72,66,28.79,1.243,0.1774,38,31.58,1.562,0.398,41,36.59,1.299,0.2212
flat 5.0R,13.9,0.124,145,31.03,1.318,0.2327,6.49,33.74,15,0,31.03,66,28.79,1.322,0.2344,38,31.58,1.547,0.3871,41,34.15,1.092,0.087
flat 6.0R,14.1,0.124,145,31.03,1.457,0.3318,6.23,48.11,15,0,31.03,66,28.79,1.518,0.3771,38,31.58,1.559,0.3958,41,34.15,1.256,0.1996
"ladder, no BE",13.9,0.126,148,44.59,1.328,0.1538,2.88,22.76,5,20,47.66,68,39.71,1.196,0.0949,39,53.85,1.806,0.2622,42,45.24,1.25,0.1452
"ladder, no trail",14.1,0.127,149,55.7,1.341,0.1485,2.23,22.12,5,10,54.68,68,52.94,1.352,0.1615,39,66.67,2.05,0.3353,42,50.0,0.9,-0.0461
"ladder, no partials",14.5,0.127,149,57.05,1.238,0.1046,2.94,15.59,5,9,55.71,68,54.41,1.209,0.0957,39,69.23,2.012,0.3205,42,50.0,0.821,-0.0814
ladder gate 75,15.1,0.283,332,53.01,1.042,0.0215,6.74,7.13,9,22,51.94,149,49.66,0.983,-0.0083,79,59.49,1.19,0.0796,104,52.88,1.03,0.02
ladder gate 70,14.2,0.362,425,54.35,1.082,0.0369,6.06,15.7,8,30,53.16,185,52.43,1.049,0.0219,106,62.26,1.386,0.1505,134,50.75,0.927,-0.0321
ladder gate 65,14.5,0.619,728,50.14,0.89,-0.0532,23.69,-38.72,9,47,49.05,336,46.13,0.793,-0.1079,167,59.28,1.181,0.076,225,49.33,0.858,-0.0673
