retr_frac,sl_atr_buffer,tp_r,tp1_frac,breakeven_after_tp1,entry_expiry,min_score,n,wr,pf,exp,total_r
0.35,0.5,2.0,0.5,True,6,0,245,48.57142857142857,0.77367065296174,-0.1206185957654327,-29.551555962531012
0.35,0.5,2.0,0.5,True,6,55,242,49.17355371900827,0.7934829759322105,-0.10864218316742379,-26.291408326516557
0.35,0.5,2.0,0.5,True,6,60,234,49.572649572649574,0.8076724796665142,-0.10013289282366182,-23.431096920736866
0.35,0.5,2.0,0.5,True,6,65,200,49.0,0.7994104071901761,-0.10467638918991491,-20.935277837982984
0.35,0.5,2.0,0.5,True,6,70,141,53.191489361702125,0.9903193530610389,-0.004574059134412444,-0.6449423379521546
0.35,0.5,2.0,0.5,True,6,75,77,42.857142857142854,0.6486630923036737,-0.20088550897003918,-15.468184190693018
0.35,0.5,2.0,0.5,True,10,0,262,48.091603053435115,0.7505828007795341,-0.13461503404077804,-35.26913891868384
0.35,0.5,2.0,0.5,True,10,55,258,48.44961240310077,0.7654804478992587,-0.12557345292084368,-32.39795085357767
0.35,0.5,2.0,0.5,True,10,60,250,48.8,0.7773542373086372,-0.11815055779119192,-29.53763944779798
0.35,0.5,2.0,0.5,True,10,65,216,48.148148148148145,0.7624395879333544,-0.12670559025324674,-27.368407494701295
0.35,0.5,2.0,0.5,True,10,70,155,51.61290322580645,0.9154040341883618,-0.04169071072494072,-6.462060162365811
0.35,0.5,2.0,0.5,True,10,75,88,42.04545454545455,0.6005692723455698,-0.23435978895730375,-20.62366142824273
0.35,0.5,2.0,0.5,False,6,0,241,41.078838174273855,0.8263199367533194,-0.09345027820366845,-22.521517047084096
0.35,0.5,2.0,0.5,False,6,55,238,41.596638655462186,0.8476305625119115,-0.08093012357592284,-19.261369411069637
0.35,0.5,2.0,0.5,False,6,60,230,42.173913043478265,0.8684623015360552,-0.06913503480560848,-15.90105800528995
0.35,0.5,2.0,0.5,False,6,65,197,41.11675126903553,0.8618174150230679,-0.07248993233042303,-14.280516669093338
0.35,0.5,2.0,0.5,False,6,70,139,46.043165467625904,1.1004442455673222,0.047142744676890544,6.552841510087785
0.35,0.5,2.0,0.5,False,6,75,75,37.333333333333336,0.7303456458968611,-0.15195639027945926,-11.396729270959444
0.35,0.5,2.0,0.5,False,10,0,258,39.922480620155035,0.796091866509701,-0.11129939654328938,-28.71524430816866
0.35,0.5,2.0,0.5,False,10,55,254,40.55118110236221,0.8159719722857471,-0.09954424723227641,-25.284238796998206
0.35,0.5,2.0,0.5,False,10,60,246,41.05691056910569,0.8337422007094791,-0.0891216560618639,-21.92392739121852
