test_month,tp_r,n_wl,train_n,train_pf,train_wr,test_n,test_pf,test_wr,test_exp
2025-11,2.0,2,58,0.8181750352495717,34.48275862068966,3,3.5660230286473684,66.66666666666666,0.9315200729420825
2025-12,2.0,3,99,0.7338049413403774,31.313131313131315,4,0.583249401663452,25.0,-0.3463252622430408
2026-01,2.5,8,150,0.8278357584211185,30.666666666666664,14,1.167937971809821,35.714285714285715,0.11670227912620654
2026-02,2.5,8,147,0.9297107196326725,32.6530612244898,21,0.12920725594642546,14.285714285714285,-0.8704309335762842
2026-03,2.5,6,164,0.9492582506923005,34.756097560975604,11,0.3018761917809454,18.181818181818183,-0.6480441327813806
2026-04,1.5,5,151,0.7198953849733866,35.76158940397351,9,2.486848827013952,66.66666666666666,0.564234749732788
2026-05,1.5,4,154,0.6574845900844489,33.76623376623377,10,0.5269175946294533,30.0,-0.38537033537895715
2026-06,1.5,6,131,0.6443360548729427,33.587786259541986,4,0.5296421465738551,25.0,-0.3160037847347741
2026-07,1.5,4,115,0.8034404526857518,39.130434782608695,5,0.31723268145308064,20.0,-0.6193478045487246
2026-08,1.0,6,100,0.7518872446078735,48.0,5,1.1628645481605127,60.0,0.0764603458348784
