tp_r,tp1_frac,breakeven_after_tp1,sl_atr_buffer,retr_frac,min_score,n,wr,pf,exp
0.6,0.0,False,0.8,0.5,0,186,63.44086021505376,0.9080312095192699,-0.03531135080616835
0.6,0.0,False,0.8,0.5,60,181,63.53591160220995,0.9129105577770389,-0.0333090461643179
0.6,0.0,False,0.8,0.5,65,167,64.07185628742515,0.9374321687201785,-0.02349233535945554
0.6,0.0,False,0.8,0.5,70,134,63.43283582089553,0.9046568658112117,-0.036767339792492956
0.6,0.0,False,0.8,0.5,75,68,55.88235294117647,0.6684324810736582,-0.15264583119281
0.6,0.0,False,0.8,0.62,0,120,62.5,0.8450914809623098,-0.06296475376669688
0.6,0.0,False,0.8,0.62,60,115,62.60869565217392,0.8506070725958688,-0.06047844699184977
0.6,0.0,False,0.8,0.62,65,109,63.30275229357798,0.8757198558207452,-0.04939457196673539
0.6,0.0,False,0.8,0.62,70,89,62.92134831460674,0.8652072796754562,-0.05403737904002368
0.6,0.0,False,0.8,0.62,75,52,61.53846153846154,0.8217276849499049,-0.07379890027963555
0.6,0.0,False,1.1,0.5,0,204,61.274509803921575,0.8406643319755617,-0.06433028475498927
0.6,0.0,False,1.1,0.5,60,198,62.121212121212125,0.8737308197124449,-0.04973748516070269
0.6,0.0,False,1.1,0.5,65,180,62.77777777777778,0.9052771656971355,-0.03640673996875161
0.6,0.0,False,1.1,0.5,70,141,62.4113475177305,0.8887304583094555,-0.04335799832418921
0.6,0.0,False,1.1,0.5,75,71,53.52112676056338,0.6283729647607945,-0.17554129747329283
0.6,0.0,False,1.1,0.62,0,142,63.38028169014085,0.886793026595095,-0.044734349119927894
0.6,0.0,False,1.1,0.62,60,137,63.503649635036496,0.8924734427106521,-0.04231855139275073
0.6,0.0,False,1.1,0.62,65,127,64.56692913385827,0.9386097949461214,-0.023347224569066353
0.6,0.0,False,1.1,0.62,70,102,64.70588235294117,0.950266591286267,-0.018769102920369256
0.6,0.0,False,1.1,0.62,75,57,66.66666666666666,1.0418568119410672,0.014862098286743347
0.6,0.0,False,0.5,0.5,0,162,65.4320987654321,0.9586008886525068,-0.01545839613421219
0.6,0.0,False,0.5,0.5,60,157,65.60509554140127,0.96700384170013,-0.012248082786314325
0.6,0.0,False,0.5,0.5,65,147,65.98639455782312,0.9849109695112723,-0.005532202924805109
0.6,0.0,False,0.5,0.5,70,118,64.40677966101694,0.9232676301617133,-0.029389566315981074
0.6,0.0,False,0.5,0.5,75,62,56.451612903225815,0.6684356698509951,-0.15502199166705102
0.6,0.0,False,0.5,0.62,0,97,62.88659793814433,0.8476988966301984,-0.06153475272291232
0.6,0.0,False,0.5,0.62,60,94,62.76595744680851,0.8449801051065646,-0.06273090326848245
0.6,0.0,False,0.5,0.62,65,89,62.92134831460674,0.8502639485879773,-0.060364543482694655
0.6,0.0,False,0.5,0.62,70,74,60.810810810810814,0.7785634377209112,-0.09427142651094528
0.8,0.0,False,0.5,0.5,0,194,56.18556701030928,0.8822918768324652,-0.05578389734560808
0.8,0.0,False,0.5,0.5,60,190,56.84210526315789,0.9067581385290463,-0.043507332304847206
0.8,0.0,False,0.5,0.5,65,172,56.97674418604651,0.9142231000879404,-0.03980476244910495
0.8,0.0,False,0.5,0.5,70,138,56.52173913043478,0.8902293056413139,-0.05198999678096016
0.8,0.0,False,0.5,0.5,75,70,47.14285714285714,0.6163311216513344,-0.220479157363097
0.8,0.0,False,0.5,0.62,0,123,54.47154471544715,0.806113076212734,-0.09675492187878863
0.8,0.0,False,0.5,0.62,60,118,54.23728813559322,0.7997476756597173,-0.10033758241068294
0.8,0.0,False,0.5,0.62,65,111,54.95495495495496,0.8239494524972604,-0.08670447864840289
0.8,0.0,False,0.5,0.62,70,91,53.84615384615385,0.7929396719717876,-0.10419220371087541
0.8,0.0,False,0.5,0.62,75,54,51.85185185185185,0.7374465495629969,-0.1375367106151154
0.8,0.0,False,0.8,0.5,0,216,51.85185185185185,0.7589757556807973,-0.12213323028692781
0.8,0.0,False,0.8,0.5,60,209,52.15311004784689,0.7703189846366434,-0.11542844052320093
