condition,n,P(up)%,z,sig
regime=CHOPPY,33670,48.14,-6.8,***
trading below prev day low,141384,49.33,-5.0,***
regime=HIGH_VOLATILITY,2751,46.93,-3.2,**
regime=STRONG_BEAR,35707,49.33,-2.5,*
M5 CHoCH up,21753,49.17,-2.4,*
M15 ADX>30 & trend down,136722,49.67,-2.4,*
"swept PDL, closed back over",4642,48.41,-2.2,*
session=LONDON,204486,49.77,-2.1,*
M5 displacement down,17436,49.24,-2.0,*
M15 RSI<30,37816,49.54,-1.8,
session=OVERLAP,163248,49.84,-1.3,
regime=BEAR,56595,49.82,-0.9,
M15 structure bullish,299581,49.93,-0.8,
price >1.5 ATR BELOW vwap,79959,49.97,-0.2,
"swept PDH, closed back under",6000,49.93,-0.1,
M5 CHoCH down,21813,50.32,0.9,
M15 ADX>30 & trend up,141238,50.11,0.9,
session=NEWYORK,198926,50.13,1.1,
low vol (ATR rank<0.2),232168,50.13,1.3,
high vol (ATR rank>0.8),177309,50.18,1.5,
M3 BOS up,49214,50.36,1.6,
M5 RSI<30,34856,50.46,1.7,
H1 EMA20<EMA50,388708,50.16,2.0,*
regime=STRONG_BULL,50653,50.46,2.1,*
regime=LIQUIDITY_REVERSAL,257469,50.21,2.2,*
M5 displacement up,16530,51.08,2.8,*
M5 RSI>70,49126,50.67,3.0,*
M3 BOS down,46411,50.82,3.5,**
regime=EXPANSION,27444,51.11,3.7,**
regime=NEUTRAL,238633,50.43,4.2,***
regime=COMPRESSION,81172,50.79,4.5,***
extended >3 ATR below EMA20,78398,50.91,5.1,***
extended >3 ATR above EMA20,126932,50.75,5.4,***
regime=BULL,73202,51.03,5.6,***
BASELINE (all bars),931031,50.37,7.1,***
session=ASIA,325946,50.64,7.3,***
H1 EMA20>EMA50,542323,50.52,7.6,***
M15 structure bearish,257058,50.8,8.2,***
M15 RSI>70,59309,51.97,9.6,***
trading above prev day high,238510,51.25,12.2,***
price >1.5 ATR ABOVE vwap,100372,52.19,13.9,***
