stopx,tgtR,cost<=,strat,qual,n,win%,PF,expR,totR
1.6,1.0,0.03,all,none,290,56.6,1.19,0.077,22.4
1.6,1.0,0.03,all,retest,145,56.6,1.18,0.074,10.7
1.6,1.0,0.03,all,m15,226,59.7,1.34,0.127,28.6
1.6,1.0,0.03,trend+breakout,none,127,62.2,1.48,0.17,21.5
1.6,1.0,0.03,trend+breakout,m15,123,62.6,1.51,0.175,21.6
1.6,1.0,0.03,no_liquidity_only,none,127,62.2,1.48,0.17,21.5
1.6,1.0,0.03,no_liquidity_only,m15,123,62.6,1.51,0.175,21.6
1.6,1.0,0.05,all,none,721,53.4,1.08,0.035,25.3
1.6,1.0,0.05,all,retest,389,56.3,1.2,0.085,32.9
1.6,1.0,0.05,all,m15,579,54.7,1.13,0.055,31.8
1.6,1.0,0.05,all,retest+m15,313,58.1,1.28,0.116,36.2
1.6,1.0,0.05,trend,none,185,55.7,1.13,0.051,9.5
1.6,1.0,0.05,trend,m15,185,55.7,1.13,0.051,9.5
1.6,1.0,0.05,trend+breakout,none,362,55.5,1.15,0.065,23.6
1.6,1.0,0.05,trend+breakout,retest,205,58.0,1.28,0.117,24.0
1.6,1.0,0.05,trend+breakout,m15,345,55.9,1.17,0.072,24.9
1.6,1.0,0.05,trend+breakout,retest+m15,188,59.0,1.34,0.135,25.3
1.6,1.0,0.05,no_liquidity_only,none,362,55.5,1.15,0.065,23.6
1.6,1.0,0.05,no_liquidity_only,retest,205,58.0,1.28,0.117,24.0
1.6,1.0,0.05,no_liquidity_only,m15,345,55.9,1.17,0.072,24.9
1.6,1.0,0.05,no_liquidity_only,retest+m15,188,59.0,1.34,0.135,25.3
1.6,1.25,0.02,all,none,189,50.8,1.15,0.068,12.8
1.6,1.25,0.02,all,m15,147,54.4,1.3,0.123,18.1
1.6,1.25,0.03,all,none,438,51.8,1.2,0.091,39.9
1.6,1.25,0.03,all,retest,234,55.6,1.38,0.162,37.8
1.6,1.25,0.03,all,m15,349,53.3,1.27,0.115,40.3
1.6,1.25,0.03,all,retest+m15,190,56.8,1.44,0.181,34.4
1.6,1.25,0.03,trend+breakout,none,213,55.4,1.38,0.158,33.6
1.6,1.25,0.03,trend+breakout,retest,124,61.3,1.76,0.285,35.4
1.6,1.25,0.03,trend+breakout,m15,205,55.6,1.38,0.16,32.7
1.6,1.25,0.03,no_liquidity_only,none,213,55.4,1.38,0.158,33.6
1.6,1.25,0.03,no_liquidity_only,retest,124,61.3,1.76,0.285,35.4
1.6,1.25,0.03,no_liquidity_only,m15,205,55.6,1.38,0.16,32.7
1.6,1.25,0.05,all,none,953,50.8,1.15,0.069,66.2
1.6,1.25,0.05,all,retest,527,52.8,1.25,0.114,60.2
1.6,1.25,0.05,all,m15,775,51.9,1.19,0.088,68.2
1.6,1.25,0.05,all,retest+m15,423,54.8,1.34,0.152,64.2
1.6,1.25,0.05,trend,none,257,55.3,1.33,0.137,35.3
