,0
H1_range_pos,0.0027747454138474423
tod_sin,0.0021011856703262444
H1_rsi,0.001908626030676171
M15_di_diff,0.0018437413876264779
d_day_high,0.0016001800489604905
atr_expand_120,0.0014394738208097408
M15_range_pos,0.0013638912264087126
day_range_atr,0.0013389932256251031
M15_atr_rank,0.0013275112224646242
H1_di_diff,0.0013234724844788381
dow,0.0010419560689010805
tod_cos,0.0009920555270927685
M3_bars_since_disp,0.000896460445847643
M5_di_diff,0.0008735138629001327
M5_range_pos,0.0008707679392308728
M3_ema_spread_atr,0.0008085142255851441
M15_ema_slope_atr,0.0007436295825353767
M15_bbw_rank,0.0007252723161774351
d_M15_swing_low,0.0006414171040212135
M15_ema_spread_atr,0.0005853905040773914
d_asia_low,0.0005789647639171669
M15_bars_since_disp,0.0005661550996931553
d_day_low,0.0005462262450422287
M15_vwap_dist_atr,0.0005424140109124472
M5_struct_bias,0.000534468952579803
realised_vol_ratio,0.0005102748560871598
M3_vwap_dist_atr,0.0004998800714352362
M5_adx,0.0004748879844345503
ret_5,0.00046611008884696786
day_range_pos,0.0003783973417897564
cost_over_atr,0.0003576217111848819
H1_atr_rank,0.0003569038681952019
sess_NEWYORK,0.0003512621798440844
M5_bars_since_bos,0.0003357902241437986
ret_15,0.00032136018618085976
H1_eql,0.0003195133085860391
up_frac_15,0.00030536901394910093
M3_rsi,0.00024654422021534267
M15_rsi,0.00024512247293480743
M5_atr_rank,0.0002448053675364603
ret_60,0.00020236899895109683
sess_OVERLAP,0.00019281750557842425
H1_bars_since_bos,0.0001834019145193396
ret_3,0.00017037620046345126
H1_struct_bias,0.00016229523981725613
M3_struct_bias,0.00015561511840337752
atr_expand_30,0.00013534128095641731
d_M5_swing_low,0.000108484892987278
H1_choch,9.072699067895022e-05
sess_ASIA,7.98408668933881e-05
M15_bos,7.340118803437583e-05
streak,5.59325137267086e-05
M5_rsi,4.393826338418746e-05
H1_eqh,3.17628099569441e-05
M3_bars_since_bos,2.6089759533480066e-05
H1_disp,2.084532409896145e-05
M5_eql,1.6398879172485614e-05
d_sess_high,1.2903750441088194e-05
M5_ext_atr,4.679918131874257e-06
M3_bos,0.0
M3_eql,0.0
M3_choch,0.0
M5_eqh,0.0
M5_bos,0.0
H1_bos,0.0
M5_choch,0.0
M5_disp,0.0
M15_choch,0.0
M3_disp,0.0
M15_disp,-4.840213168488816e-06
up_frac_60,-2.8110870863666076e-05
M15_ext_atr,-3.420208225209572e-05
d_M5_swing_high,-6.003746053188467e-05
M3_di_diff,-6.410756059001728e-05
ret_1,-6.831007828696685e-05
M3_eqh,-7.008726238770062e-05
M15_eqh,-7.538745261748137e-05
atr_pct,-8.27575396234274e-05
M15_eql,-8.437791336231755e-05
M5_vwap_dist_atr,-0.000127992101998727
atr_ratio_5_15,-0.00015388323507385207
ret_120,-0.00018444731693145755
d_asia_high,-0.0002227891927358098
M3_ema_slope_atr,-0.00027817809720820375
d_M15_swing_high,-0.0002831054272442642
M15_bars_since_bos,-0.00029928825658491015
M15_struct_bias,-0.00035146429097713633
M5_ema_slope_atr,-0.00035166988678492217
sess_LONDON,-0.0003557295328188899
M3_adx,-0.0003913951784479952
H1_ema_slope_atr,-0.0004303015715548438
ret_240,-0.0004541123538297498
M5_ema_spread_atr,-0.0004658208608462333
H1_bars_since_disp,-0.00047257067575423584
d_sess_low,-0.0006005871704759155
H1_ext_atr,-0.0006311930684300323
M3_range_pos,-0.0006431908034472134
H1_vwap_dist_atr,-0.0006864774326611478
ret_30,-0.0008936552827083499
H1_adx,-0.0009725134713343131
d_pdh,-0.001040555229668801
M5_bars_since_disp,-0.0011308814827563813
M15_adx,-0.0013093490978901927
d_pdl,-0.0013374286066815493
H1_ema_spread_atr,-0.0017157806477000974
M3_ext_atr,-0.002044524859585728
