score.threshold,exits.tp2_r,exits.trail_atr_mult,toggles.breakout,sessions.enabled_sessions,trades,win%,PF,ret%,dd%,expR,obj
80.0,2.5,1.0,False,"('OVERLAP', 'NEWYORK')",36,52.8,1.27,1.71,1.2,0.148,1.513
80.0,2.5,1.5,False,"('OVERLAP', 'NEWYORK')",36,52.8,1.27,1.68,1.2,0.14,1.464
80.0,2.0,1.0,False,"('OVERLAP', 'NEWYORK')",36,52.8,1.26,1.63,1.2,0.147,1.462
80.0,2.0,1.5,False,"('OVERLAP', 'NEWYORK')",36,52.8,1.25,1.57,1.21,0.139,1.388
80.0,2.5,1.0,True,"('OVERLAP', 'NEWYORK')",47,48.9,1.13,1.22,1.65,0.094,0.597
75.0,2.5,1.0,False,"('OVERLAP', 'NEWYORK')",54,48.1,1.16,1.71,2.13,0.09,0.597
80.0,2.0,1.0,True,"('OVERLAP', 'NEWYORK')",47,48.9,1.14,1.28,1.65,0.099,0.546
75.0,2.5,1.5,False,"('OVERLAP', 'NEWYORK')",54,48.1,1.15,1.62,2.18,0.082,0.511
80.0,2.0,1.5,True,"('OVERLAP', 'NEWYORK')",47,48.9,1.13,1.17,1.7,0.09,0.437
75.0,2.0,1.0,False,"('OVERLAP', 'NEWYORK')",54,48.1,1.13,1.35,2.14,0.075,0.383
80.0,2.5,1.5,True,"('OVERLAP', 'NEWYORK')",47,48.9,1.11,1.01,1.7,0.078,0.305
75.0,2.5,1.0,True,"('OVERLAP', 'NEWYORK')",64,46.9,1.11,1.48,2.33,0.078,0.304
75.0,2.0,1.5,False,"('OVERLAP', 'NEWYORK')",54,48.1,1.12,1.22,2.19,0.067,0.278
75.0,2.0,1.0,True,"('OVERLAP', 'NEWYORK')",64,46.9,1.1,1.25,2.45,0.069,0.167
75.0,2.5,1.5,True,"('OVERLAP', 'NEWYORK')",64,46.9,1.09,1.2,2.36,0.063,0.13
75.0,2.0,1.5,True,"('OVERLAP', 'NEWYORK')",64,46.9,1.08,1.08,2.48,0.06,0.055
85.0,2.5,1.5,False,"('OVERLAP', 'NEWYORK')",28,50.0,1.07,0.37,2.35,0.059,0.03
85.0,2.5,1.0,False,"('OVERLAP', 'NEWYORK')",28,50.0,1.06,0.3,2.29,0.061,0.002
85.0,2.0,1.5,False,"('OVERLAP', 'NEWYORK')",28,50.0,1.07,0.35,2.35,0.066,-0.04
85.0,2.0,1.0,False,"('OVERLAP', 'NEWYORK')",28,50.0,1.06,0.32,2.29,0.068,-0.041
80.0,2.5,1.0,False,"('LONDON', 'OVERLAP', 'NEWYORK')",57,45.6,1.0,-0.03,1.62,-0.008,-0.15
80.0,2.5,1.0,False,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",57,45.6,1.0,-0.03,1.62,-0.008,-0.15
85.0,2.0,1.0,True,"('OVERLAP', 'NEWYORK')",37,45.9,0.97,-0.24,2.03,0.015,-0.245
80.0,2.0,1.0,False,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",57,45.6,0.98,-0.21,1.63,-0.013,-0.255
80.0,2.0,1.0,False,"('LONDON', 'OVERLAP', 'NEWYORK')",57,45.6,0.98,-0.21,1.63,-0.013,-0.255
85.0,2.0,1.5,True,"('OVERLAP', 'NEWYORK')",37,45.9,0.97,-0.25,2.15,0.009,-0.292
85.0,2.5,1.0,True,"('OVERLAP', 'NEWYORK')",37,45.9,0.94,-0.49,2.09,-0.005,-0.484
80.0,2.5,1.5,False,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",57,45.6,0.95,-0.58,1.63,-0.023,-0.568
80.0,2.5,1.5,False,"('LONDON', 'OVERLAP', 'NEWYORK')",57,45.6,0.95,-0.58,1.63,-0.023,-0.568
85.0,2.5,1.5,True,"('OVERLAP', 'NEWYORK')",37,45.9,0.92,-0.61,2.3,-0.019,-0.634
