ts_open,ts_close,symbol,direction,strategy,regime,regime_conf,setup_score,grade,session,entry,stop,tp1,tp2,exit,exit_reason,lots,risk_money,risk_percent,r_distance,pnl,r_multiple,mfe_r,mae_r,bars_held,spread,atr,entry_slippage,exit_slippage,commission,news_status,entry_reason,equity_after
2026-01-06 07:56:00+00:00,2026-01-06 08:23:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,80.0,B,LONDON,4458.13,4467.869,4443.521,4433.782,4468.088,STOP,0.01,9.7391,1.9478,9.739,-9.958,-1.0225,0.119,1.014,27,0.198,3.696,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,490.042
2026-01-08 07:52:00+00:00,2026-01-08 11:52:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,STRONG_BEAR,0.918,75.0,B,LONDON,4428.74,4437.86,4415.06,4405.939,4423.979,TIME,0.01,9.1203,1.8611,9.12,4.7613,0.5221,1.02,0.702,240,0.23,4.701,0.05,0.05,0.0,clear,trend pullback + LTF BOS,494.8033
2026-01-08 14:51:00+00:00,2026-01-08 16:15:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,85.0,A,OVERLAP,4433.015,4418.548,4454.715,4469.182,4446.544,BE_STOP,0.01,14.4668,2.9238,14.467,17.5508,1.2132,1.714,0.373,84,0.26,6.787,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,512.3541
2026-01-09 13:21:00+00:00,2026-01-09 13:30:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,CHOPPY,0.707,90.0,A+,OVERLAP,4467.346,4460.768,4477.214,4483.792,4467.312,BE_STOP,0.01,6.5784,1.2839,6.578,-0.0345,-0.0052,1.081,1.33,9,0.203,3.908,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,512.3196
2026-01-09 15:26:00+00:00,2026-01-09 17:53:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.819,85.0,A,OVERLAP,4507.051,4491.108,4530.967,4546.91,4490.839,STOP,0.01,15.9436,3.112,15.944,-16.2123,-1.0169,0.618,1.198,147,0.333,8.201,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,496.1073
2026-01-12 14:33:00+00:00,2026-01-12 14:39:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,75.0,B,OVERLAP,4598.885,4608.402,4584.611,4575.095,4608.671,STOP,0.01,9.5163,1.9182,9.516,-9.7855,-1.0283,0.723,1.29,6,0.279,6.695,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,486.3218
2026-01-14 09:36:00+00:00,2026-01-14 12:59:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.585,85.0,A,LONDON,4631.398,4640.338,4617.988,4609.049,4640.548,STOP,0.01,8.9399,1.8383,8.94,-9.1498,-1.0235,0.627,1.141,203,0.199,3.653,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,477.172
2026-01-16 12:23:00+00:00,2026-01-16 13:16:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.675,90.0,A+,OVERLAP,4607.27,4615.205,4595.368,4587.433,4587.536,TP2,0.01,7.935,1.6629,7.935,15.7665,1.987,2.652,0.013,53,0.17,2.92,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,492.9385
2026-01-19 09:24:00+00:00,2026-01-19 11:44:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,75.0,B,LONDON,4668.405,4673.503,4660.757,4655.658,4665.271,BE_STOP,0.01,5.0985,1.0343,5.099,5.3453,1.0484,1.702,0.52,140,0.2,3.433,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,498.2839
2026-01-20 11:41:00+00:00,2026-01-20 13:21:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,STRONG_BULL,0.998,85.0,A,LONDON,4730.055,4720.549,4744.314,4753.82,4720.329,STOP,0.01,9.5061,1.9078,9.506,-9.7261,-1.0231,0.535,1.256,100,0.22,3.465,0.05,0.12,0.0,clear,trend pullback + LTF BOS,488.5577
2026-01-21 14:08:00+00:00,2026-01-21 14:29:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,OVERLAP,4863.953,4882.426,4836.244,4817.771,4863.886,BE_STOP,0.01,18.4728,3.7811,18.473,0.0676,0.0037,1.345,0.278,21,0.263,7.165,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,488.6253
2026-01-22 19:06:00+00:00,2026-01-22 19:27:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.556,85.0,A,NEWYORK,4920.623,4912.454,4932.877,4941.046,4912.221,STOP,0.01,8.169,1.6718,8.169,-8.4027,-1.0286,0.442,1.35,21,0.237,5.949,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,480.2226
2026-01-23 11:06:00+00:00,2026-01-23 12:05:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,LONDON,4917.321,4931.953,4895.373,4880.741,4932.173,STOP,0.01,14.632,3.0469,14.632,-14.8518,-1.015,0.389,1.067,59,0.229,5.831,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,465.3708
2026-01-28 13:41:00+00:00,2026-01-28 14:59:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,75.0,B,OVERLAP,5264.614,5287.43,5230.39,5207.574,5287.67,STOP,0.01,22.816,4.9028,22.816,-23.0563,-1.0105,0.705,1.036,78,0.222,8.659,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,442.3145
2026-02-02 13:08:00+00:00,2026-02-02 13:53:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,80.0,B,OVERLAP,4768.803,4817.895,4695.166,4646.074,4718.235,BE_STOP,0.01,49.0919,11.0989,49.092,62.0557,1.2641,2.044,0.702,45,0.171,24.001,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,504.3701
2026-02-03 16:21:00+00:00,2026-02-03 17:11:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.926,85.0,A,NEWYORK,4971.809,4931.963,5031.577,5071.422,4931.737,STOP,0.01,39.8453,7.9,39.845,-40.0715,-1.0057,0.543,1.226,50,0.207,15.126,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,464.2986
2026-02-05 08:04:00+00:00,2026-02-05 09:01:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,BEAR,0.563,85.0,A,LONDON,4928.245,4891.651,4983.136,5019.73,4891.425,STOP,0.01,36.594,7.8816,36.594,-36.8205,-1.0062,0.409,1.049,57,0.221,14.934,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,427.4781
2026-02-10 08:46:00+00:00,2026-02-10 12:43:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.979,80.0,B,LONDON,5053.03,5035.807,5078.864,5096.087,5035.604,STOP,0.01,17.223,4.029,17.223,-17.4259,-1.0118,0.582,1.054,237,0.19,6.713,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,410.0522
2026-02-16 08:16:00+00:00,2026-02-16 09:03:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,95.0,A+,LONDON,4999.312,5014.296,4976.836,4961.852,5014.498,STOP,0.01,14.9841,3.6542,14.984,-15.1857,-1.0135,0.268,1.053,47,0.171,5.126,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,394.8664
2026-02-18 07:51:00+00:00,2026-02-18 09:23:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,95.0,A+,LONDON,4931.025,4942.48,4913.841,4902.386,4919.886,BE_STOP,0.01,11.4555,2.9011,11.456,14.1157,1.2322,1.597,0.094,92,0.181,4.521,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,408.9821
2026-02-18 18:07:00+00:00,2026-02-18 18:25:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,BULL,0.592,85.0,A,NEWYORK,5002.639,4991.984,5018.622,5029.276,4991.762,STOP,0.01,10.6548,2.6052,10.655,-10.8769,-1.0208,0.0,1.292,18,0.209,4.602,0.05,0.12,0.0,clear,trend pullback + LTF BOS,398.1052
2026-02-20 11:51:00+00:00,2026-02-20 13:48:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,75.0,B,LONDON,5020.769,5034.507,5000.162,4986.424,5034.736,STOP,0.01,13.738,3.4509,13.738,-13.9665,-1.0166,1.019,1.244,117,0.232,5.409,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,384.1387
2026-02-27 13:06:00+00:00,2026-02-27 13:15:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.974,80.0,B,OVERLAP,5194.46,5185.155,5208.419,5217.724,5217.624,TP2,0.01,9.3056,2.4225,9.306,18.5184,1.99,2.769,0.0,9,0.171,3.801,0.05,0.0,0.0,clear,compression -> confirmed range break + momentum,402.6571
2026-03-03 17:06:00+00:00,2026-03-03 19:01:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,STRONG_BEAR,1.0,75.0,B,NEWYORK,5084.074,5139.436,5001.031,4945.669,5139.697,STOP,0.01,55.3619,13.7491,55.362,-55.6237,-1.0047,0.344,1.087,115,0.403,20.31,0.05,0.12,0.0,clear,trend pullback + LTF BOS,347.0334
2026-03-09 08:06:00+00:00,2026-03-09 08:29:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,85.0,A,LONDON,5105.837,5091.351,5127.567,5142.053,5091.12,STOP,0.01,14.4861,4.1743,14.486,-14.7179,-1.016,0.034,1.053,23,0.225,8.335,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,332.3155
2026-03-16 08:26:00+00:00,2026-03-16 08:39:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,85.0,A,LONDON,5001.444,4985.833,5024.859,5040.47,4985.594,STOP,0.01,15.6106,4.6975,15.611,-15.8493,-1.0153,0.0,1.018,13,0.237,7.368,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,316.4663
2026-03-23 17:11:00+00:00,2026-03-23 19:03:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,85.0,A,NEWYORK,4394.824,4365.174,4439.298,4468.948,4441.475,BE_STOP,0.01,29.6499,9.369,29.65,45.5013,1.5346,2.431,0.222,112,0.297,21.605,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,361.9676
2026-03-26 11:52:00+00:00,2026-03-26 13:45:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,90.0,A+,LONDON,4423.951,4454.692,4377.839,4347.097,4454.927,STOP,0.01,30.7414,8.4929,30.741,-30.9761,-1.0076,0.248,1.179,113,0.234,10.217,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,330.9915
2026-04-01 09:22:00+00:00,2026-04-01 13:22:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,STRONG_BULL,1.0,85.0,A,LONDON,4729.177,4706.983,4762.467,4784.661,4731.014,TIME,0.01,22.1936,6.7052,22.194,17.5185,0.7894,1.504,0.739,240,0.238,9.607,0.05,0.05,0.0,clear,trend pullback + LTF BOS,348.5101
2026-04-01 15:25:00+00:00,2026-04-01 15:48:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,BULL,0.96,75.0,B,OVERLAP,4739.413,4757.254,4712.652,4694.812,4757.498,STOP,0.01,17.8407,5.1191,17.841,-18.0847,-1.0137,0.514,1.031,23,0.243,11.212,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,330.4253
2026-04-01 15:56:00+00:00,2026-04-01 17:14:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.953,85.0,A,OVERLAP,4762.847,4747.446,4785.95,4801.351,4775.584,BE_STOP,0.01,15.4015,4.6611,15.401,17.8498,1.159,1.789,0.296,78,0.245,11.311,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,348.2751
2026-04-01 18:01:00+00:00,2026-04-01 19:00:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,BULL,1.0,75.0,B,NEWYORK,4787.675,4772.231,4810.84,4826.284,4772.01,STOP,0.01,15.4437,4.4343,15.444,-15.6646,-1.0143,0.354,1.079,59,0.219,6.777,0.05,0.12,0.0,clear,trend pullback + LTF BOS,332.6105
2026-04-02 13:16:00+00:00,2026-04-02 14:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,85.0,A,OVERLAP,4613.263,4591.892,4645.32,4666.691,4591.661,STOP,0.01,21.3712,6.4253,21.371,-21.6019,-1.0108,0.785,1.524,44,0.217,9.691,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,311.0086
2026-04-06 10:06:00+00:00,2026-04-06 10:57:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.781,80.0,B,LONDON,4700.575,4691.306,4714.479,4723.749,4691.103,STOP,0.01,9.2692,2.9804,9.269,-9.4728,-1.022,0.613,1.02,51,0.181,6.806,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,301.5358
