ts_open,ts_close,symbol,direction,strategy,regime,regime_conf,setup_score,grade,session,entry,stop,tp1,tp2,exit,exit_reason,lots,risk_money,risk_percent,r_distance,pnl,r_multiple,mfe_r,mae_r,bars_held,spread,atr,entry_slippage,exit_slippage,commission,news_status,entry_reason,equity_after
2026-01-06 07:56:00+00:00,2026-01-06 08:23:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,80.0,B,LONDON,4458.13,4467.869,4443.521,4433.782,4468.088,STOP,0.002,1.9478,0.3896,9.739,-1.9916,-1.0225,0.119,1.014,27,0.198,3.696,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,498.0084
2026-01-06 15:40:00+00:00,2026-01-06 17:04:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,75.0,B,OVERLAP,4470.295,4489.044,4442.17,4423.42,4489.309,STOP,0.001,1.875,0.3765,18.75,-1.9014,-1.0141,0.0,1.005,84,0.281,6.983,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,496.107
2026-01-08 07:52:00+00:00,2026-01-08 11:52:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,STRONG_BEAR,0.918,75.0,B,LONDON,4428.74,4437.86,4415.06,4405.939,4423.979,TIME,0.002,1.8241,0.3677,9.12,0.9523,0.5221,1.02,0.702,240,0.23,4.701,0.05,0.05,0.0,clear,trend pullback + LTF BOS,497.0592
2026-01-08 14:51:00+00:00,2026-01-08 16:15:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,85.0,A,OVERLAP,4433.015,4418.548,4454.715,4469.182,4446.544,BE_STOP,0.001,1.4467,0.291,14.467,1.7551,1.2132,1.714,0.373,84,0.26,6.787,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,498.8143
2026-01-09 13:21:00+00:00,2026-01-09 13:30:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,CHOPPY,0.707,90.0,A+,OVERLAP,4467.346,4460.768,4477.214,4483.792,4467.312,BE_STOP,0.003,1.9735,0.3956,6.578,-0.0103,-0.0052,1.081,1.33,9,0.203,3.908,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,498.804
2026-01-09 15:26:00+00:00,2026-01-09 17:53:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.819,85.0,A,OVERLAP,4507.051,4491.108,4530.967,4546.91,4490.839,STOP,0.001,1.5944,0.3196,15.944,-1.6212,-1.0169,0.618,1.198,147,0.333,8.201,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,497.1827
2026-01-12 14:33:00+00:00,2026-01-12 14:39:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,75.0,B,OVERLAP,4598.885,4608.402,4584.611,4575.095,4608.671,STOP,0.002,1.9033,0.3828,9.516,-1.9571,-1.0283,0.723,1.29,6,0.279,6.695,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,495.2256
2026-01-12 15:36:00+00:00,2026-01-12 16:38:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.946,80.0,B,OVERLAP,4624.41,4613.578,4640.658,4651.489,4613.296,STOP,0.002,2.1664,0.4374,10.832,-2.2227,-1.026,0.514,1.034,62,0.31,7.872,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,493.0029
2026-01-14 09:36:00+00:00,2026-01-14 12:59:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.585,85.0,A,LONDON,4631.398,4640.338,4617.988,4609.049,4640.548,STOP,0.002,1.788,0.3627,8.94,-1.83,-1.0235,0.627,1.141,203,0.199,3.653,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,491.173
2026-01-16 12:23:00+00:00,2026-01-16 13:16:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.675,90.0,A+,OVERLAP,4607.27,4615.205,4595.368,4587.433,4587.536,TP2,0.003,2.3805,0.4847,7.935,4.7299,1.987,2.652,0.013,53,0.17,2.92,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,495.9029
