ts_open,ts_close,symbol,direction,strategy,regime,regime_conf,setup_score,grade,session,entry,stop,tp1,tp2,exit,exit_reason,lots,risk_money,risk_percent,r_distance,pnl,r_multiple,mfe_r,mae_r,bars_held,spread,atr,entry_slippage,exit_slippage,commission,news_status,entry_reason,equity_after
2026-01-02 08:36:00+00:00,2026-01-02 13:29:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.989,65.0,NO_TRADE,LONDON,4388.648,4373.608,4407.449,4407.449,4373.366,STOP,0.001,1.5041,0.3008,15.041,-1.5283,-1.0161,0.883,1.05,293,0.2,3.411,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,498.4717
2026-01-05 04:44:00+00:00,2026-01-05 09:43:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,STRONG_BULL,1.0,85.0,A,ASIA,4406.019,4381.13,4437.13,4437.13,4437.035,TP2,0.001,2.4889,0.4993,24.889,3.1016,1.2462,1.258,0.203,299,0.389,4.351,0.05,0.0,0.0,clear,trend pullback + LTF BOS,501.5733
2026-01-05 10:30:00+00:00,2026-01-05 11:26:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,STRONG_BULL,1.0,85.0,A,LONDON,4432.94,4422.087,4446.506,4446.506,4421.865,STOP,0.002,2.1705,0.4327,10.853,-2.215,-1.0205,0.621,1.645,56,0.19,3.236,0.05,0.12,0.0,clear,trend pullback + LTF BOS,499.3584
2026-01-06 07:56:00+00:00,2026-01-06 14:37:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,80.0,B,LONDON,4458.13,4482.075,4428.198,4428.198,4482.312,STOP,0.001,2.3945,0.4795,23.945,-2.4183,-1.0099,0.67,1.028,401,0.198,3.696,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,496.9401
2026-01-06 15:48:00+00:00,2026-01-06 21:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,BULL,0.799,85.0,A,OVERLAP,4477.436,4500.867,4448.147,4448.147,4493.432,SESSION_END,0.001,2.3431,0.4715,23.431,-1.5997,-0.6827,0.267,0.814,312,0.278,6.901,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,495.3405
2026-01-08 02:06:00+00:00,2026-01-08 10:06:00+00:00,XAUUSD,SHORT,BREAKOUT,COMPRESSION,0.921,65.0,NO_TRADE,ASIA,4441.145,4464.221,4412.3,4412.3,4429.446,TIME,0.001,2.3076,0.4659,23.076,1.17,0.507,1.124,0.31,480,0.439,5.066,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,496.5104
2026-01-08 12:13:00+00:00,2026-01-08 13:22:00+00:00,XAUUSD,SHORT,BREAKOUT,COMPRESSION,0.953,65.0,NO_TRADE,OVERLAP,4413.953,4432.088,4391.285,4391.285,4432.313,STOP,0.001,1.8135,0.3652,18.135,-1.836,-1.0124,0.357,1.026,69,0.184,3.876,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,494.6745
2026-01-08 15:50:00+00:00,2026-01-08 21:00:00+00:00,XAUUSD,LONG,BREAKOUT,EXPANSION,0.939,55.0,NO_TRADE,OVERLAP,4454.67,4432.213,4482.742,4482.742,4476.712,SESSION_END,0.001,2.2458,0.454,22.458,2.2042,0.9815,1.089,0.45,310,0.25,6.547,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,496.8787
2026-01-09 13:21:00+00:00,2026-01-09 13:34:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,CHOPPY,0.707,90.0,A+,OVERLAP,4467.346,4451.128,4487.619,4487.619,4487.509,TP2,0.001,1.6218,0.3264,16.218,2.0163,1.2432,1.278,0.54,13,0.203,3.908,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,498.895
2026-01-12 14:33:00+00:00,2026-01-12 15:33:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,75.0,B,OVERLAP,4598.886,4622.392,4569.503,4569.503,4622.669,STOP,0.001,2.3506,0.4712,23.506,-2.3783,-1.0118,0.293,1.024,60,0.279,6.695,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,496.5167
2026-01-12 16:20:00+00:00,2026-01-12 18:16:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.961,70.0,NO_TRADE,NEWYORK,4628.261,4605.556,4656.643,4656.643,4605.303,STOP,0.001,2.2705,0.4573,22.705,-2.2958,-1.0111,0.058,1.104,116,0.332,6.441,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,494.2209
2026-01-14 09:36:00+00:00,2026-01-14 15:04:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.585,85.0,A,LONDON,4631.398,4654.123,4602.992,4602.992,4603.132,TP2,0.001,2.2725,0.4598,22.725,2.8267,1.2439,1.267,0.449,328,0.199,3.653,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,497.0475
2026-01-16 00:57:00+00:00,2026-01-16 05:48:00+00:00,XAUUSD,SHORT,BREAKOUT,COMPRESSION,0.905,50.0,NO_TRADE,ASIA,4599.958,4611.185,4585.924,4585.924,4611.468,STOP,0.002,2.2454,0.4518,11.227,-2.3021,-1.0252,0.8,1.073,291,0.314,3.27,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,494.7455
2026-01-16 05:53:00+00:00,2026-01-16 13:16:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.995,65.0,NO_TRADE,ASIA,4612.055,4591.577,4637.652,4637.652,4591.354,STOP,0.001,2.0478,0.4139,20.478,-2.0701,-1.0109,0.191,1.261,443,0.339,3.281,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,492.6754
2026-01-16 15:18:00+00:00,2026-01-16 15:23:00+00:00,XAUUSD,LONG,BREAKOUT,EXPANSION,0.855,55.0,NO_TRADE,OVERLAP,4616.904,4595.825,4643.253,4643.253,4595.557,STOP,0.001,2.1079,0.4279,21.079,-2.1347,-1.0127,0.0,1.056,5,0.273,6.184,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,490.5407
2026-01-19 09:24:00+00:00,2026-01-19 17:24:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,75.0,B,LONDON,4668.405,4680.896,4652.792,4652.792,4669.852,TIME,0.001,1.2491,0.2546,12.491,-0.1447,-0.1158,0.719,0.604,480,0.2,3.433,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,490.396
2026-01-20 11:41:00+00:00,2026-01-20 17:55:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,STRONG_BULL,0.998,85.0,A,LONDON,4730.055,4706.499,4759.499,4759.499,4759.334,TP2,0.001,2.3556,0.4803,23.556,2.9279,1.243,1.276,0.636,373,0.22,3.465,0.05,0.0,0.0,clear,trend pullback + LTF BOS,493.324
2026-01-20 18:55:00+00:00,2026-01-20 21:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,BULL,0.947,75.0,B,NEWYORK,4754.4,4778.251,4724.585,4724.585,4758.354,SESSION_END,0.001,2.3852,0.4835,23.852,-0.3954,-0.1658,0.308,0.492,125,0.291,4.382,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,492.9286
2026-01-22 19:01:00+00:00,2026-01-22 21:00:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.556,70.0,NO_TRADE,NEWYORK,4916.553,4896.243,4941.941,4941.941,4916.364,SESSION_END,0.001,2.0311,0.412,20.311,-0.0189,-0.0093,0.578,0.532,119,0.237,5.977,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,492.9097
