ts_open,ts_close,symbol,direction,strategy,regime,regime_conf,setup_score,grade,session,entry,stop,tp1,tp2,exit,exit_reason,lots,risk_money,risk_percent,r_distance,pnl,r_multiple,mfe_r,mae_r,bars_held,spread,atr,entry_slippage,exit_slippage,commission,news_status,entry_reason,equity_after
2024-01-09 13:52:00+00:00,2024-01-09 21:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.628,90.0,A+,OVERLAP,2038.253,2048.319,2025.669,2025.669,2029.289,SESSION_END,0.002,2.0133,0.4027,10.067,1.7927,0.8904,1.216,0.175,428,0.265,1.891,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,501.7927
2024-01-22 14:56:00+00:00,2024-01-22 21:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,100.0,A+,OVERLAP,2023.753,2004.433,2047.902,2047.902,2020.204,SESSION_END,0.001,1.9319,0.385,19.319,-0.3549,-0.1837,0.139,0.243,364,0.335,2.184,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,501.4378
2024-02-01 13:31:00+00:00,2024-02-01 14:16:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,90.0,A+,OVERLAP,2034.379,2024.571,2046.638,2046.638,2046.483,TP2,0.002,1.9615,0.3912,9.807,2.4208,1.2342,1.267,0.039,45,0.247,1.478,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,503.8586
2024-02-01 15:01:00+00:00,2024-02-01 16:43:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,75.0,B,OVERLAP,2044.361,2061.365,2023.106,2023.106,2061.7,STOP,0.001,1.7004,0.3375,17.004,-1.7339,-1.0197,0.034,1.105,102,0.328,2.327,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,502.1247
2024-02-02 13:26:00+00:00,2024-02-02 13:31:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,OVERLAP,2053.542,2064.048,2040.41,2040.41,2040.528,TP2,0.002,2.1012,0.4185,10.506,2.6028,1.2387,1.256,0.017,5,0.226,1.07,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,504.7275
2024-02-02 14:52:00+00:00,2024-02-02 18:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,85.0,A,OVERLAP,2033.632,2017.509,2053.785,2053.785,2034.745,SESSION_END,0.001,1.6122,0.3194,16.122,0.1113,0.069,0.235,0.325,188,0.473,2.913,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,504.8388
2024-02-09 13:36:00+00:00,2024-02-09 18:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,OVERLAP,2030.917,2016.6,2048.814,2048.814,2024.543,SESSION_END,0.001,1.4318,0.2836,14.318,-0.6375,-0.4452,0.06,0.749,264,0.345,1.649,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,504.2013
2024-02-16 15:11:00+00:00,2024-02-16 18:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,95.0,A+,OVERLAP,2002.325,1983.493,2025.864,2025.864,2012.738,SESSION_END,0.001,1.8831,0.3735,18.831,1.0414,0.553,0.636,0.0,169,0.499,2.259,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,505.2427
2024-03-05 11:07:00+00:00,2024-03-05 13:34:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,STRONG_BULL,1.0,85.0,A,LONDON,2126.159,2115.479,2139.511,2139.511,2139.366,TP2,0.002,2.1362,0.4228,10.681,2.6413,1.2364,1.283,0.473,147,0.289,1.371,0.05,0.0,0.0,clear,trend pullback + LTF BOS,507.884
2024-03-06 13:31:00+00:00,2024-03-06 14:47:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,75.0,B,OVERLAP,2132.28,2146.949,2113.944,2113.944,2147.238,STOP,0.001,1.4669,0.2888,14.669,-1.4958,-1.0197,0.0,1.005,76,0.256,1.535,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,506.3882
2024-03-07 11:06:00+00:00,2024-03-07 13:06:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,80.0,B,LONDON,2154.768,2163.549,2143.792,2143.792,2163.77,STOP,0.002,1.7562,0.3468,8.781,-1.8004,-1.0252,0.187,1.124,120,0.214,1.158,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,504.5878
2024-03-11 18:58:00+00:00,2024-03-11 22:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,90.0,A+,NEWYORK,2180.55,2171.335,2192.068,2192.068,2181.521,SESSION_END,0.002,1.843,0.3652,9.215,0.1942,0.1054,0.38,0.002,121,0.229,1.144,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,504.782
2024-03-12 12:22:00+00:00,2024-03-12 12:41:00+00:00,XAUUSD,SHORT,BREAKOUT,EXPANSION,0.876,55.0,NO_TRADE,OVERLAP,2168.642,2181.177,2152.974,2152.974,2181.51,STOP,0.002,2.5069,0.4966,12.535,-2.5736,-1.0266,0.617,1.055,19,0.246,1.443,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,502.2084
2024-03-19 12:26:00+00:00,2024-03-19 20:26:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,100.0,A+,OVERLAP,2152.819,2163.558,2139.397,2139.397,2158.326,TIME,0.002,2.1476,0.4276,10.738,-1.1014,-0.5128,0.422,0.54,480,0.231,1.308,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,501.107
2024-03-27 11:46:00+00:00,2024-03-27 19:46:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,LONDON,2190.953,2207.559,2170.195,2170.195,2191.709,TIME,0.001,1.6606,0.3314,16.606,-0.0756,-0.0455,0.453,0.251,480,0.324,1.975,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,501.0314
2024-04-01 10:28:00+00:00,2024-04-01 15:02:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,70.0,NO_TRADE,LONDON,2253.483,2266.094,2237.721,2237.721,2237.872,TP2,0.001,1.261,0.2517,12.61,1.5611,1.238,1.285,0.339,274,0.203,1.302,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,502.5926
2024-04-02 00:04:00+00:00,2024-04-02 08:04:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,BULL,0.866,70.0,NO_TRADE,ASIA,2251.206,2263.185,2236.231,2236.231,2254.363,TIME,0.002,2.3959,0.4767,11.979,-0.6314,-0.2635,0.386,0.717,480,0.339,1.488,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,501.9612
2024-04-04 13:51:00+00:00,2024-04-04 19:56:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,90.0,A+,OVERLAP,2287.443,2274.197,2304.0,2304.0,2303.832,TP2,0.001,1.3246,0.2639,13.246,1.6389,1.2373,1.351,0.21,365,0.256,2.265,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,503.6001
2024-04-05 13:39:00+00:00,2024-04-05 15:24:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,OVERLAP,2290.244,2305.809,2270.787,2270.787,2306.117,STOP,0.001,1.5565,0.3091,15.565,-1.5873,-1.0198,0.392,1.124,105,0.283,2.87,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,502.0128
2024-04-08 14:36:00+00:00,2024-04-08 21:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,75.0,B,OVERLAP,2330.63,2345.003,2312.664,2312.664,2338.961,SESSION_END,0.001,1.4373,0.2863,14.373,-0.8331,-0.5796,0.839,0.784,384,0.27,3.821,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,501.1797
2024-04-09 02:16:00+00:00,2024-04-09 10:16:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.963,80.0,B,ASIA,2343.893,2327.764,2364.053,2364.053,2360.015,TIME,0.001,1.6128,0.3218,16.128,1.6122,0.9996,1.077,0.346,480,0.315,1.633,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,502.7919
2024-04-09 10:21:00+00:00,2024-04-09 12:36:00+00:00,XAUUSD,LONG,BREAKOUT,STRONG_BULL,1.0,85.0,A,LONDON,2362.325,2351.496,2375.862,2375.862,2351.281,STOP,0.002,2.1659,0.4308,10.829,-2.2088,-1.0198,0.264,1.017,135,0.201,1.934,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,500.5831
2024-04-09 20:11:00+00:00,2024-04-09 21:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,85.0,A,NEWYORK,2345.978,2356.353,2333.009,2333.009,2351.359,SESSION_END,0.002,2.075,0.4145,10.375,-1.0763,-0.5187,0.081,0.525,49,0.22,1.664,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,499.5068
2024-04-10 14:18:00+00:00,2024-04-10 15:20:00+00:00,XAUUSD,SHORT,BREAKOUT,EXPANSION,0.95,80.0,B,OVERLAP,2326.851,2348.489,2299.804,2299.804,2348.865,STOP,0.001,2.1637,0.4332,21.637,-2.2014,-1.0174,0.351,1.075,62,0.468,5.374,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,497.3054
