ts_open,ts_close,symbol,direction,strategy,regime,regime_conf,setup_score,grade,session,entry,stop,tp1,tp2,exit,exit_reason,lots,risk_money,risk_percent,r_distance,pnl,r_multiple,mfe_r,mae_r,bars_held,spread,atr,entry_slippage,exit_slippage,commission,news_status,entry_reason,equity_after
2019-06-25 17:41:00+00:00,2019-06-25 21:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,NEWYORK,1424.8,1443.388,1401.564,1401.564,1423.627,SESSION_END,0.001,1.8589,0.3718,18.589,0.1173,0.0631,0.699,0.079,199,0.331,1.945,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,500.1173
2019-06-26 10:11:00+00:00,2019-06-26 18:11:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,80.0,B,LONDON,1407.57,1416.698,1396.16,1396.16,1410.531,TIME,0.002,1.8256,0.365,9.128,-0.5921,-0.3244,0.625,0.836,480,0.21,1.357,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,499.5251
2019-07-03 13:21:00+00:00,2019-07-03 21:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,90.0,A+,OVERLAP,1418.958,1407.879,1432.807,1432.807,1417.145,SESSION_END,0.002,2.2159,0.4432,11.079,-0.3626,-0.1636,0.263,0.63,458,0.266,1.794,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,499.6374
2019-07-11 15:41:00+00:00,2019-07-11 21:00:00+00:00,XAUUSD,SHORT,BREAKOUT,BEAR,0.613,70.0,NO_TRADE,OVERLAP,1409.825,1422.285,1394.25,1394.25,1407.54,SESSION_END,0.002,2.4919,0.4987,12.46,0.457,0.1834,0.508,0.244,319,0.306,1.644,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,500.0943
2019-07-18 13:36:00+00:00,2019-07-18 17:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,OVERLAP,1417.655,1429.123,1403.319,1403.319,1429.428,STOP,0.002,2.2937,0.4586,11.468,-2.3546,-1.0266,0.268,1.002,204,0.3,1.429,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,497.7398
2019-07-19 10:46:00+00:00,2019-07-19 15:42:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,100.0,A+,LONDON,1440.289,1430.594,1452.407,1452.407,1430.304,STOP,0.002,1.9389,0.3895,9.695,-1.9969,-1.0299,0.152,1.048,296,0.221,1.007,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,495.7429
2019-07-31 14:51:00+00:00,2019-07-31 19:50:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,OVERLAP,1429.57,1441.748,1414.348,1414.348,1414.698,TP2,0.002,2.4355,0.4913,12.178,2.9744,1.2213,1.282,0.107,299,0.356,1.255,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,498.7173
2019-08-02 08:34:00+00:00,2019-08-02 16:34:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.968,85.0,A,LONDON,1437.487,1427.986,1449.364,1449.364,1444.697,TIME,0.002,1.9003,0.381,9.501,1.442,0.7588,1.075,0.694,480,0.219,1.243,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,500.1593
2019-08-05 15:27:00+00:00,2019-08-05 16:05:00+00:00,XAUUSD,LONG,BREAKOUT,STRONG_BULL,1.0,70.0,NO_TRADE,OVERLAP,1467.937,1458.657,1479.537,1479.537,1458.359,STOP,0.002,1.8559,0.3711,9.28,-1.9157,-1.0322,0.18,1.092,38,0.238,1.605,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,498.2436
2019-08-06 15:21:00+00:00,2019-08-06 21:00:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.932,85.0,A,OVERLAP,1469.739,1460.592,1481.173,1481.173,1472.009,SESSION_END,0.002,1.8294,0.3672,9.147,0.4539,0.2481,0.441,0.214,339,0.228,1.697,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,498.6975
