block,n,win,pf,ret,dd,expR
2019-01-01..2019-07-01,2,50.0,0.2,-0.09,0.12,-0.131
2019-07-01..2020-01-01,21,33.3,0.47,-1.52,1.56,-0.206
2020-01-01..2020-07-01,53,43.4,0.98,-0.2,1.8,-0.023
2020-07-01..2021-01-01,49,55.1,1.35,1.91,1.02,0.088
2021-01-01..2021-07-01,45,28.9,0.47,-3.76,4.18,-0.246
2021-07-01..2022-01-01,28,42.9,1.03,0.08,2.07,-0.005
2022-01-01..2022-07-01,56,39.3,0.69,-2.67,3.0,-0.122
2022-07-01..2023-01-01,39,43.6,0.69,-2.1,3.12,-0.134
2023-01-01..2023-07-01,30,56.7,2.06,3.7,1.44,0.265
2023-07-01..2024-01-01,23,47.8,1.14,0.31,1.15,0.04
2024-01-01..2024-07-01,50,50.0,1.09,0.62,2.83,0.069
2024-07-01..2025-01-01,71,56.3,1.54,4.51,1.61,0.181
2025-01-01..2025-07-01,110,46.4,1.0,-0.06,2.68,-0.023
2025-07-01..2026-01-01,137,65.7,2.48,20.72,1.72,0.38
2026-01-01..2026-07-01,96,49.0,1.21,3.87,2.23,0.083
