ts_open,ts_close,symbol,direction,strategy,regime,regime_conf,setup_score,grade,session,entry,stop,tp1,tp2,exit,exit_reason,lots,risk_money,risk_percent,r_distance,pnl,r_multiple,mfe_r,mae_r,bars_held,spread,atr,entry_slippage,exit_slippage,commission,news_status,entry_reason,equity_after
2024-01-22 14:56:00+00:00,2024-01-22 21:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,100.0,A+,OVERLAP,2023.753,2000.61,2046.895,2046.895,2020.204,SESSION_END,0.001,2.3142,0.4628,23.142,-0.3549,-0.1534,0.116,0.203,364,0.335,2.184,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,499.6451
2024-02-01 13:31:00+00:00,2024-02-01 14:14:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,90.0,A+,OVERLAP,2034.379,2022.636,2046.121,2046.121,2045.975,TP2,0.002,2.3484,0.47,11.742,2.3192,0.9876,1.04,0.033,43,0.247,1.478,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,501.9643
2024-02-01 15:01:00+00:00,2024-02-01 16:45:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,75.0,B,OVERLAP,2044.361,2064.721,2024.001,2024.001,2065.061,STOP,0.001,2.036,0.4056,20.36,-2.07,-1.0167,0.029,1.022,104,0.328,2.327,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,499.8943
2024-02-02 13:26:00+00:00,2024-02-02 13:31:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,OVERLAP,2053.542,2066.127,2040.957,2040.957,2041.076,TP2,0.001,1.2585,0.2517,12.585,1.2466,0.9906,1.049,0.015,5,0.226,1.07,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,501.1409
2024-02-02 14:52:00+00:00,2024-02-02 18:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,85.0,A,OVERLAP,2033.632,2014.34,2052.923,2052.923,2034.745,SESSION_END,0.001,1.9292,0.385,19.292,0.1113,0.0577,0.196,0.271,188,0.473,2.913,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,501.2522
2024-02-09 13:36:00+00:00,2024-02-09 18:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,OVERLAP,2030.917,2013.779,2048.056,2048.056,2024.543,SESSION_END,0.001,1.7139,0.3419,17.139,-0.6375,-0.3719,0.05,0.626,264,0.345,1.649,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,500.6148
2024-02-16 15:11:00+00:00,2024-02-16 18:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,95.0,A+,OVERLAP,2002.325,1979.781,2024.868,2024.868,2012.738,SESSION_END,0.001,2.2544,0.4503,22.544,1.0414,0.4619,0.531,0.0,169,0.499,2.259,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,501.6561
2024-03-06 13:31:00+00:00,2024-03-06 17:03:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,75.0,B,OVERLAP,2132.28,2149.866,2114.694,2114.694,2150.216,STOP,0.001,1.7586,0.3506,17.586,-1.7936,-1.0199,0.026,1.002,212,0.256,1.535,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,499.8625
2024-03-07 11:06:00+00:00,2024-03-07 19:06:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,80.0,B,LONDON,2154.768,2165.294,2144.242,2144.242,2157.313,TIME,0.002,2.1051,0.4211,10.526,-0.509,-0.2418,0.66,0.937,480,0.214,1.158,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,499.3535
2024-03-11 18:58:00+00:00,2024-03-11 22:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,90.0,A+,NEWYORK,2180.55,2169.527,2191.573,2191.573,2181.521,SESSION_END,0.002,2.2046,0.4415,11.023,0.1942,0.0881,0.317,0.002,121,0.229,1.144,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,499.5476
2024-03-12 12:22:00+00:00,2024-03-12 14:09:00+00:00,XAUUSD,SHORT,BREAKOUT,EXPANSION,0.876,55.0,NO_TRADE,OVERLAP,2168.642,2183.647,2153.637,2153.637,2153.91,TP2,0.001,1.5005,0.3004,15.005,1.4732,0.9818,1.031,0.881,107,0.246,1.443,0.05,0.0,0.0,clear,compression -> confirmed range break + momentum,501.0209
